ticker,date,open,high,low,close
A,2013-07-19,30.244,30.5389,30.1473,30.4871
A,2013-07-22,30.5061,30.9146,30.4194,30.8828
A,2013-07-23,30.5599,30.9077,30.5599,30.6635
A,2013-07-24,30.7951,30.8877,30.6775,30.8569
A,2013-07-25,30.7612,30.9475,30.6097,30.7881
A,2013-07-26,30.5599,30.7233,29.9769,30.0895
A,2013-07-29,30.0815,30.1533,29.6799,29.9171
A,2013-07-30,30.0577,30.0895,29.5753,29.5953
A,2013-07-31,29.7209,29.8923,29.4717,29.5165
A,2013-08-01,30.0307,30.4871,29.9041,30.3795
A,2013-08-02,30.3935,30.6914,30.3477,30.6037
A,2013-08-05,30.526,30.6157,30.2241,30.3137
A,2013-08-06,30.3077,30.5001,30.0955,30.4064
A,2013-08-07,30.2759,30.6565,30.1015,30.5389
A,2013-08-08,30.6845,30.7173,30.1155,30.2579
A,2013-08-09,30.2579,30.6565,30.2301,30.5001
A,2013-08-12,30.2839,30.6914,30.1683,30.6506
A,2013-08-13,30.6506,30.9994,30.5121,30.9595
A,2013-08-14,30.8628,31.0133,30.5977,30.6914
A,2013-08-15,31.403,31.7856,30.9146,30.9874
A,2013-08-16,30.8877,31.1598,30.6984,30.8748
A,2013-08-19,30.7672,30.9724,30.6307,30.6436
A,2013-08-20,30.6366,31.1927,30.4672,31.0342
A,2013-08-21,30.9655,31.1737,30.7751,30.9416
A,2013-08-22,30.9416,31.8932,30.8828,31.654
A,2013-08-23,31.647,31.673,31.37,31.4637
A,2013-08-26,31.4358,31.8115,31.2724,31.4099
A,2013-08-27,31.0671,31.2724,30.8828,30.9934
A,2013-08-28,30.9356,30.9934,30.6914,30.8429
A,2013-08-29,30.7672,31.0342,30.6307,30.8828
A,2013-08-30,30.9416,30.9994,30.5977,30.7751
A,2013-09-03,31.0382,31.3491,30.7602,30.9645
A,2013-09-04,30.9645,31.647,30.8419,31.5883
A,2013-09-05,31.5544,31.7308,31.396,31.4637
A,2013-09-06,31.4846,31.5344,31.098,31.2953
A,2013-09-09,31.403,31.7019,31.2066,31.6401
A,2013-09-10,31.6969,32.1154,31.6969,32.0406
A,2013-09-11,32.0706,32.3436,31.8184,32.3048
A,2013-09-12,32.2679,32.2918,31.9998,32.0836
A,2013-09-13,32.0716,32.0846,31.8264,31.9819
A,2013-09-16,32.3716,32.4552,32.0566,32.1612
A,2013-09-17,32.1562,32.5479,32.0846,32.249
A,2013-09-18,32.1822,32.5668,31.8663,32.5479
A,2013-09-19,34.9206,35.2843,33.4876,33.6361
A,2013-09-20,33.6779,34.5709,33.6361,34.4103
A,2013-09-23,34.2529,34.4721,33.9051,34.0945
A,2013-09-24,34.0557,34.2599,33.7846,34.0497
A,2013-09-25,34.0427,34.3995,33.9431,34.2001
A,2013-09-26,34.2859,34.3925,33.956,34.3725
A,2013-09-27,34.2859,34.4593,33.9939,34.1493
A,2013-09-30,33.7427,34.1423,33.5663,33.8992
A,2013-10-01,33.5335,34.4463,33.5335,34.3277
A,2013-10-02,34.1204,34.2001,33.8324,34.1065
A,2013-10-03,34.1005,34.1065,33.672,33.7707
A,2013-10-04,33.8424,34.3007,33.7776,34.2459
A,2013-10-07,33.956,34.1204,33.7776,33.8185
A,2013-10-08,33.8503,33.95,32.9974,33.1538
A,2013-10-09,33.2236,33.3222,32.6655,33.0342
A,2013-10-10,33.2624,33.8633,33.2624,33.7228
A,2013-10-11,33.6511,34.1743,33.5056,34.0357
A,2013-10-14,33.8633,34.0147,33.4079,33.9679
A,2013-10-15,33.7846,33.8563,33.4657,33.6511
A,2013-10-16,33.8773,34.3865,33.6919,34.1005
A,2013-10-17,33.8992,34.8549,33.8185,34.8239
A,2013-10-18,35.0053,35.2156,34.811,35.0481
A,2013-10-21,35.0821,35.1468,34.3277,34.3865
A,2013-10-22,34.4593,34.523,33.6231,33.7427
A,2013-10-23,33.5733,33.6511,33.2694,33.4996
A,2013-10-24,33.5115,33.8773,33.5115,33.8115
A,2013-10-25,33.956,34.3347,33.7905,34.3057
A,2013-10-28,34.2529,34.3795,33.8115,34.0557
A,2013-10-29,34.0755,34.3277,33.8843,34.1951
A,2013-10-30,34.2331,34.2739,33.6361,33.8324
A,2013-10-31,33.8324,33.95,33.369,33.5733
A,2013-11-01,33.6779,34.1145,33.6231,33.7975
A,2013-11-04,33.9879,34.0357,33.6979,33.8703
A,2013-11-05,33.8503,33.9679,33.6291,33.8703
A,2013-11-06,33.8563,33.9431,33.5993,33.7567
